"pageId","box","type","attributes"
"2","[264,721,1798,1824]","region",""
"2","[264,721,1798,1824]","block","lineHeight<26>"
"2","[264,721,1798,1824]","line","fontSize<11>"
"2","[264,721,1798,1824]","paragraph","_layoutExtrapolated<true>fontSize<11>indentation<indent>lineHeight<26>textOrientation<justified>"
"2","[264,516,604,629]","line","fontSize<11>"
"2","[264,421,1404,1430]","line","fontSize<11>"
"2","[264,395,1724,1750]","region",""
"2","[264,395,1724,1750]","block","lineHeight<26>"
"2","[264,395,1724,1750]","line","fontSize<11>"
"2","[264,395,1724,1750]","paragraph","_layoutExtrapolated<true>fontSize<11>indentation<indent>lineHeight<26>textOrientation<justified>"
"3","[264,1325,284,1986]","region",""
"3","[264,1325,284,1986]","column","lineHeight<23>"
"3","[264,1324,1052,1747]","region",""
"3","[264,1324,1052,1747]","block","indentation<exdent>lineHeight<23>"
"3","[264,1323,569,849]","region",""
"3","[264,1323,569,849]","block","indentation<exdent>lineHeight<24>"
"3","[264,1313,284,406]","region",""
"3","[264,1313,284,406]","block","lineHeight<23>"
"3","[264,1325,1796,1902]","region",""
"3","[264,1325,1796,1902]","block","lineHeight<26>"
"3","[264,1325,1796,1902]","paragraph","fontSize<11>indentation<none>lineHeight<26>textOrientation<justified>"
"3","[264,1324,1116,1203]","paragraph","fontSize<10>indentation<none>lineHeight<23>textOrientation<centered>"
"3","[264,1323,633,689]","paragraph","fontSize<10>indentation<exdent>lineHeight<24>textOrientation<justified>"
"3","[264,1323,761,817]","paragraph","fontSize<10>indentation<exdent>lineHeight<24>textOrientation<justified>"
"3","[264,1322,569,625]","paragraph","fontSize<10>indentation<exdent>lineHeight<24>textOrientation<justified>"
"3","[264,1322,697,753]","paragraph","fontSize<10>indentation<exdent>lineHeight<24>textOrientation<justified>"
"3","[264,1324,1308,1363]","paragraph","fontSize<10>indentation<exdent>lineHeight<23>textOrientation<justified>"
"3","[264,1324,1628,1683]","paragraph","fontSize<10>indentation<exdent>lineHeight<23>textOrientation<justified>"
"3","[264,1323,1500,1555]","paragraph","fontSize<10>indentation<exdent>lineHeight<23>textOrientation<justified>"
"3","[264,1322,1372,1427]","paragraph","fontSize<10>indentation<exdent>lineHeight<23>textOrientation<justified>"
"3","[264,1218,318,374]","paragraph","fontSize<10>indentation<none>lineHeight<24>textOrientation<justified>"
"3","[264,1325,1836,1862]","line","fontSize<11>"
"3","[264,1323,1796,1822]","line","fontSize<11>"
"3","[264,698,937,998]","region",""
"3","[264,698,937,998]","block","lineHeight<26>"
"3","[264,698,937,998]","paragraph","fontSize<11>indentation<none>lineHeight<26>textOrientation<justified>"
"3","[264,1323,633,657]","line","fontSize<10>"
"3","[264,1323,761,785]","line","fontSize<10>"
"3","[264,1322,569,593]","line","fontSize<10>"
"3","[264,1322,697,721]","line","fontSize<10>"
"3","[264,1322,1962,1986]","region",""
"3","[264,1322,1962,1986]","block","lineHeight<24>"
"3","[264,1322,1962,1986]","line","fontSize<9>"
"3","[264,1322,1962,1986]","paragraph","_layoutExtrapolated<true>fontSize<9>indentation<none>lineHeight<24>textOrientation<justified>"
"3","[264,1313,382,406]","line","fontSize<10>"
"3","[264,1313,382,406]","paragraph","_layoutExtrapolated<true>fontSize<10>indentation<exdent>lineHeight<24>textOrientation<justified>"
"3","[264,1324,1116,1139]","line","fontSize<10>"
"3","[264,1324,1308,1331]","line","fontSize<10>"
"3","[264,1324,1628,1651]","line","fontSize<10>"
"3","[264,1323,1500,1523]","line","fontSize<10>"
"3","[264,1322,1372,1395]","line","fontSize<10>"
"3","[264,1302,1084,1107]","line","fontSize<10>"
"3","[264,1302,1084,1107]","paragraph","_layoutExtrapolated<true>fontSize<10>indentation<exdent>lineHeight<23>textOrientation<justified>"
